source,target,weight
0,0,1.0000000000000002
0,1,0.008504796999274101
0,2,0.017278701738224017
0,3,0.16170440038273604
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.007020847503389092
0,9,0.01599576804902983
0,10,0.042247711309567115
0,11,0.006638477904162801
0,12,0.010321004142322784
0,13,0.014634550832048426
0,14,0.0
0,15,0.04474540171360605
0,16,0.010766614808880992
0,17,0.0
0,18,0.005404797911181796
0,19,0.005759125321707554
0,20,0.0
0,21,0.0
0,22,0.00538563866041181
0,23,0.014845691919982012
0,24,0.0
0,25,0.024108537505037518
0,26,0.007645184421892644
0,27,0.004208333314015999
0,28,0.0
0,29,0.0
0,30,0.0
0,31,0.0
0,32,0.006077942543360543
0,33,0.010059167342968868
0,34,0.012693824692507268
0,35,0.0
0,36,0.0
0,37,0.0
0,38,0.0
0,39,0.0
0,40,0.013089811187044593
0,41,0.0
0,42,0.0
0,43,0.0
0,44,0.0
1,0,0.008504796999274101
1,1,0.9999999999999999
1,2,0.03706319815085942
1,3,0.005624000847154392
1,4,0.010180190443371083
1,5,0.0
1,6,0.0
1,7,0.013216426813012433
1,8,0.0065201974605292945
1,9,0.0
1,10,0.005269512067992881
1,11,0.08648640976869294
1,12,0.018287266515014798
1,13,0.013724943576340375
1,14,0.374468330998424
1,15,0.028890138988883794
1,16,0.0
1,17,0.014918479404280429
1,18,0.01309464310706968
1,19,0.06276164828066463
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
1,25,0.0
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.01087536026590675
1,30,0.011700582562289326
1,31,0.0
1,32,0.0
1,33,0.0
1,34,0.0
1,35,0.0
1,36,0.0
1,37,0.0
1,38,0.0
1,39,0.0
1,40,0.02102223858602455
1,41,0.0
1,42,0.0
1,43,0.0
1,44,0.0
2,0,0.017278701738224017
2,1,0.03706319815085942
2,2,0.9999999999999992
2,3,0.0392134013626735
2,4,0.025050960490628875
2,5,0.0
2,6,0.03867852533428784
2,7,0.014262865687394936
2,8,0.010009958808757425
2,9,0.0
2,10,0.015996528564023095
2,11,0.045486084402874855
2,12,0.24944365442767627
2,13,0.07251241470745642
2,14,0.0
2,15,0.058172254006060756
2,16,0.011069792386173644
2,17,0.012690654000702215
2,18,0.010094760384935786
2,19,0.07126488150702487
2,20,0.0
2,21,0.02416065852594021
2,22,0.01565778315974163
2,23,0.02284927102431981
2,24,0.0
2,25,0.012011245285312937
2,26,0.029862082291260673
2,27,0.0397783442339408
2,28,0.07549368488831541
2,29,0.018978573481397157
2,30,0.12070080181900768
2,31,0.022715755679510338
2,32,0.015215167361315611
2,33,0.056067390313624954
2,34,0.013624285212254334
2,35,0.0
2,36,0.0
2,37,0.0
2,38,0.01845712465624606
2,39,0.0
2,40,0.03558616108656892
2,41,0.07178652696429531
2,42,0.033084408784894125
2,43,0.0
2,44,0.0
3,0,0.16170440038273604
3,1,0.005624000847154392
3,2,0.0392134013626735
3,3,1.0000000000000004
3,4,0.10286857563009641
3,5,0.0
3,6,0.0
3,7,0.007305963295478035
3,8,0.02395294132385229
3,9,0.0
3,10,0.012250184350594787
3,11,0.005893557475754679
3,12,0.019243065009198278
3,13,0.02039301221476989
3,14,0.0
3,15,0.02861710515170148
3,16,0.01772170301100866
3,17,0.02180002751958171
3,18,0.004323554785650507
3,19,0.005112879274972615
3,20,0.0
3,21,0.0076930312634226556
3,22,0.00956260499681104
3,23,0.0051976096573926175
3,24,0.0
3,25,0.015793504862767035
3,26,0.014165095791575325
3,27,0.008751980776090894
3,28,0.028360680119487246
3,29,0.0
3,30,0.043367843237514976
3,31,0.004325307128788107
3,32,0.04581684415199833
3,33,0.02679120805245703
3,34,0.006337189643115946
3,35,0.0
3,36,0.0
3,37,0.0
3,38,0.010022701442273985
3,39,0.0
3,40,0.016359197304918027
3,41,0.004831249528459871
3,42,0.0
3,43,0.0
3,44,0.0
4,0,0.0
4,1,0.010180190443371083
4,2,0.025050960490628875
4,3,0.10286857563009641
4,4,1.0000000000000004
4,5,0.017051363366158014
4,6,0.0
4,7,0.0
4,8,0.02238042877101189
4,9,0.02570541573914164
4,10,0.03329016768828364
4,11,0.0
4,12,0.006649819983506362
4,13,0.04437562984437897
4,14,0.0
4,15,0.03692865213127176
4,16,0.028571887035910338
4,17,0.01706911320301242
4,18,0.034891395187472696
4,19,0.014510178023733238
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
4,24,0.0
4,25,0.007536270848072592
4,26,0.0
4,27,0.0
4,28,0.01438118539409237
4,29,0.020208815440801248
4,30,0.06115640979544628
4,31,0.01565876374980024
4,32,0.007123474779192925
4,33,0.032330436118857636
4,34,0.06534554641403742
4,35,0.0
4,36,0.0
4,37,0.0
4,38,0.0
4,39,0.0
4,40,0.0
4,41,0.011740796960646562
4,42,0.01992877648273543
4,43,0.0
4,44,0.0
5,0,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.017051363366158014
5,5,1.0000000000000004
5,6,0.0
5,7,0.0
5,8,0.07093495804414733
5,9,0.0
5,10,0.006104347944392065
5,11,0.0
5,12,0.012351336906749487
5,13,0.062464393289180846
5,14,0.0
5,15,0.00808690635004915
5,16,0.1837859293135617
5,17,0.0
5,18,0.0
5,19,0.0
5,20,0.0
5,21,0.0
5,22,0.05395459263199245
5,23,0.0
5,24,0.0
5,25,0.016933263190508696
5,26,0.0
5,27,0.0
5,28,0.0
5,29,0.03682789015466209
5,30,0.0
5,31,0.0
5,32,0.03828094289987643
5,33,0.012038353840741377
5,34,0.0
5,35,0.0
5,36,0.0
5,37,0.0
5,38,0.0
5,39,0.0
5,40,0.0
5,41,0.0
5,42,0.0
5,43,0.0
5,44,0.0
6,0,0.0
6,1,0.0
6,2,0.03867852533428784
6,3,0.0
6,4,0.0
6,5,0.0
6,6,0.9999999999999993
6,7,0.013229690788382828
6,8,0.0
6,9,0.0
6,10,0.00946507397427513
6,11,0.02926603988684346
